Reference,OE,AE,OG,FG,Refractometer,BXI,BXF,WCF,Organization,Operator,Date
Anton Paar Easy Dens Gen 2,13.4,13.4,nan,nan,Milwaukee MA885,13.8,13.8,1.03,BrauCampus,aschet,2021-09-11
Anton Paar Easy Dens Gen 2,13.4,10.7,nan,nan,Milwaukee MA885,13.8,11.8,1.03,BrauCampus,aschet,2021-09-14
Anton Paar Easy Dens Gen 2,13.4,8.7,nan,nan,Milwaukee MA885,13.8,10.7,1.03,BrauCampus,aschet,2021-09-16
Anton Paar Easy Dens Gen 2,13.4,5.6,nan,nan,Milwaukee MA885,13.8,8.5,1.03,BrauCampus,aschet,2021-09-18
Anton Paar Easy Dens Gen 2,13.4,3.8,nan,nan,Milwaukee MA885,13.8,7.1,1.03,BrauCampus,aschet,2021-09-20
Anton Paar Easy Dens Gen 2,13.4,2.9,nan,nan,Milwaukee MA885,13.8,7.1,1.03,BrauCampus,aschet,2021-09-24
