Reference,OE,AE,OG,FG,Refractometer,BXI,BXF,WCF,Organization,Operator,Date
Hydrometer,17.1,17.1,nan,nan,Unknown,17.0,17.0,1.0,,Novotný,
Hydrometer,17.1,13.7,nan,nan,Unknown,17.0,15.0,1.0,,Novotný,
Hydrometer,17.1,10.8,nan,nan,Unknown,17.0,13.2,1.0,,Novotný,
Hydrometer,17.1,8.4,nan,nan,Unknown,17.0,11.6,1.0,,Novotný,
Hydrometer,17.1,6.7,nan,nan,Unknown,17.0,10.4,1.0,,Novotný,
Hydrometer,17.1,5.9,nan,nan,Unknown,17.0,10.0,1.0,,Novotný,
Hydrometer,17.1,4.9,nan,nan,Unknown,17.0,9.4,1.0,,Novotný,
Hydrometer,17.1,3.9,nan,nan,Unknown,17.0,8.8,1.0,,Novotný,
Hydrometer,17.1,3.6,nan,nan,Unknown,17.0,8.6,1.0,,Novotný,
