Reference,OG,FG,Refractometer,BXI,BXF,WCF
Hydrometer,1.073,1.014,Unknown,17.6,8.9,0.99
Hydrometer,1.098,1.023,Unknown,23.2,12.9,0.99
Hydrometer,1.054,1.020,Unknown,13.1,8.1,0.99
Hydrometer,1.038,1.016,Unknown,9.5,6.2,0.99
Hydrometer,1.059,1.026,Unknown,14.3,9.5,0.99
Hydrometer,1.062,1.013,Unknown,15.0,7.8,0.99
Hydrometer,1.071,1.010,Unknown,17.2,7.8,0.99
Hydrometer,1.059,1.013,Unknown,14.4,7.5,0.99
Hydrometer,1.063,1.018,Unknown,15.3,8.7,0.99

